City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ofunato,39.07,141.72,287.15,67,75,1.0,JP,1588987118
cap malheureux,-19.98,57.61,295.15,94,40,1.0,MU,1588987119
rio grande,-32.03,-52.1,284.82,90,0,3.0,BR,1588986900
manoel urbano,-8.84,-69.26,294.27,79,63,1.1,BR,1588987120
kodinsk,58.69,99.18,281.47,59,98,1.7,RU,1588987120
slobodskoy,58.73,50.18,285.01,96,97,2.47,RU,1588987121
tungor,53.38,142.96,275.63,81,100,2.78,RU,1588987121
loiza,18.43,-65.88,301.15,74,20,4.1,PR,1588987122
upington,-28.45,21.26,285.15,40,0,2.1,ZA,1588987122
tsumeb,-19.23,17.72,288.13,42,0,3.99,NA,1588987123
marsabit,2.33,37.99,290.99,100,96,6.93,KE,1588987123
esperanza,19.58,-70.98,301.15,74,75,6.2,DO,1588986945
armidale,-30.52,151.65,287.59,67,100,3.58,AU,1588986913
raghunathpur,23.55,86.67,302.34,52,0,3.01,IN,1588987125
chokurdakh,70.63,147.92,270.64,98,100,3.11,RU,1588987074
banjarmasin,-3.32,114.59,301.15,94,20,2.6,ID,1588986897
itupeva,-23.15,-47.06,289.15,72,0,6.7,BR,1588987127
aklavik,68.22,-135.01,281.15,45,5,5.1,CA,1588987116
mareeba,-17.0,145.43,300.15,65,98,4.6,AU,1588987128
sitka,57.05,-135.33,284.15,71,90,1.5,US,1588987128
hirado,33.36,129.55,294.15,64,75,8.7,JP,1588987128
kerrville,30.05,-99.14,295.15,40,1,5.1,US,1588987066
buzmeyin,38.05,58.21,289.15,67,0,1.0,TM,1588987129
husavik,66.04,-17.34,274.15,59,75,1.5,IS,1588987050
geraldton,-28.77,114.6,288.15,54,77,5.7,AU,1588987130
gao,16.64,1.64,303.08,14,0,3.09,ML,1588987131
magadan,59.57,150.8,276.15,76,14,1.06,RU,1588987131
diamantino,-14.41,-56.45,291.73,83,100,1.26,BR,1588987132
kautokeino,69.01,23.04,267.85,96,100,2.91,NO,1588987132
tarauaca,-8.16,-70.77,294.67,81,64,0.95,BR,1588987133
hami,42.8,93.45,292.9,20,0,3.19,CN,1588987133
varhaug,58.61,5.65,278.15,80,40,1.5,NO,1588987134
chabahar,25.29,60.64,301.32,71,0,3.98,IR,1588987134
kawalu,-7.38,108.21,299.15,82,100,0.28,ID,1588987134
puerto madryn,-42.77,-65.04,293.15,40,75,6.2,AR,1588987087
totness,5.88,-56.32,298.97,81,100,4.99,SR,1588987135
abonnema,4.71,6.79,298.92,83,91,1.12,NG,1588987136
tokur,53.13,132.9,283.66,44,0,3.54,RU,1588987136
vestmanna,62.16,-7.17,276.15,77,95,7.2,FO,1588987137
carpinteria,34.4,-119.52,299.26,35,83,1.37,US,1588987043
ilulissat,69.22,-51.1,272.15,80,100,1.0,GL,1588987137
taganak,6.08,118.3,301.15,94,40,2.1,PH,1588987138
verkhoyansk,67.54,133.38,269.24,94,100,1.57,RU,1588987138
takoradi,4.88,-1.76,300.34,87,100,3.06,GH,1588987139
coihaique,-45.58,-72.07,281.15,100,90,1.26,CL,1588987139
collie,-33.37,116.15,277.04,92,0,1.66,AU,1588987140
adrar,20.5,-10.07,304.36,17,0,5.21,MR,1588987140
bunbury,-33.33,115.63,277.04,92,0,2.51,AU,1588987141
kaeo,-35.1,173.78,292.59,49,0,2.68,NZ,1588987141
yangambi,0.81,24.43,294.58,98,77,1.58,CD,1588987142
sur,22.57,59.53,304.27,45,0,3.91,OM,1588987142
los llanos de aridane,28.66,-17.92,293.15,72,75,2.1,ES,1588987074
villamontes,-21.25,-63.5,287.35,63,0,0.38,BO,1588987143
saint-honore,48.53,-71.08,274.82,63,20,3.1,CA,1588987143
hanzhong,33.07,107.03,286.34,76,100,2.24,CN,1588987144
kargasok,59.06,80.86,289.63,60,100,4.12,RU,1588987144
necochea,-38.55,-58.74,284.82,87,100,3.13,AR,1588987145
ambo,-10.13,-76.2,287.55,68,52,1.03,PE,1588987145
vaghodia,22.3,73.38,300.35,61,0,2.37,IN,1588987146
palencia,42.42,-4.5,285.93,94,0,0.45,ES,1588987147
inongo,-1.95,18.27,295.18,92,100,1.99,CD,1588987147
cananeia,-25.01,-47.93,291.17,77,53,0.67,BR,1588987148
concepcion del oro,24.63,-101.42,290.19,51,1,3.85,MX,1588987148
kampong cham,11.99,105.46,304.06,69,100,4.09,KH,1588986910
kihei,20.79,-156.47,300.15,61,40,8.2,US,1588986921
lorengau,-2.02,147.27,302.71,73,87,2.1,PG,1588987150
manjeshwar,12.72,74.89,300.15,88,20,1.5,IN,1588987150
fortuna,40.6,-124.16,288.15,93,1,5.7,US,1588987151
richards bay,-28.78,32.04,290.96,85,0,2.09,ZA,1588987151
isla mujeres,21.23,-86.73,300.15,74,40,4.1,MX,1588987152
olga,43.74,135.29,288.88,53,100,0.47,RU,1588987152
katsuura,35.13,140.3,293.71,56,100,2.68,JP,1588987153
